Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000168071,1022,1224,1321.5,1120.5,678,1049,935,1111,949.1,4862.25,902,1409,766.5,1190
ENSG00000162302,1599,1837.5,1718.3333,1394,963,1372,1130,1487,1351,4149,1098,1301,910.5,1512
ENSG00000068971,1554,1659,1872.5,1459,1281,1581.5,1542,1198.5,1283,2978.5,1062,1574,1277,1673
ENSG00000213465,1840,1613,1720,1181,1183,1501,1285,1196,1467,2096,940,1623.55,1310,1733
ENSG00000273003,3078,2511,2920,1838.5,2146,2993.5,2353,1752.5,2729.5,4274.8,1493,2103,2275,3213.5
ENSG00000110025,2690,2449,2606,1737.5,1854,2764.5,2327.5,1765.5,2422.5,3972.8,1449,2025,2161,3052.5
ENSG00000286264,1692.5,1417.5,1676,1061,1128,1603,1190.3333,1419,1596,2573,816,1731.5,1397.5,1920
ENSG00000149782,15207.5,14931,16484,10296.5,8179,12057,10999.5,10222,13654.5,28668.6667,7333.5,8825,8765,12782
ENSG00000173264,3002,2413,3072.1667,1677.2,1725.6667,2164.5,1736,1932.5,2213,4967.3333,1450,1893,1663,2393.3333
ENSG00000173621,919.5,1327,1223,952,721.5,1271,1016,1236.5,964,4080.5,752,1678.5,1084.5,1537
ENSG00000173237,39,38,41,52,48,81,73,30,23,113,77,124,34,74
ENSG00000132740,3302.1667,3625,3792.5,2845.8333,2384.5,3581.5,2968.5,2814,2958,7161,2059,2891,2533.3333,3180
