Gene,Symbol_donor1_rep1,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,Symbol_donor1_rep2,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000100284,TOM1,73.2504,78.6254,111.8532,96.2711,53.465,96.4067,79.00200000000001,TOM1,43.98975,61.4848,65.88573328999999,64.6272,40.0197,50.4,120.1655
ENSG00000100292,HMOX1,36.764,17.689,33.963300000000004,12.07085,15.5043,34.098,23.0071,HMOX1,32.507999999999996,10.77435,20.7952,13.2396,24.93,12.8464,19.9556
ENSG00000100297,MCM5,15.6574,9.56475,17.8775,11.275,4.506,8.98885,11.27805,MCM5,16.113599999999998,11.142,3.7504,3.6912,20.4121,7.32075,5.6925
ENSG00000234409,CCDC188,NA,0,0,NA,0,NA,NA,CCDC188,0,0,NA,NA,NA,NA,0
ENSG00000040608,RTN4R,0,1.666,0,0,0,0,0,RTN4R,0,0,0,0,0,0,0
ENSG00000196562,SULF2,3.255,0.3861,10.6436,2.024,3.2255999999999996,2.046,2.727,SULF2,2.2567999999999997,0,0,0,0,6.973400000000001,0
ENSG00000124126,PREX1,399.68099972999994,342.4608,391.6894,427.84335,223.5688,464.34,412.2658,PREX1,246.6108,228.89313313999995,282.4045,299.34770000000003,269.111,292.84826692,343.92663311
ENSG00000124214,STAU1,37.3178,15.9628,20.47125,13.4453,16.46475,9.9476,21.5754,STAU1,16.3077,21.88835,17.72925,35.619749999999996,14.23803329,26.29705,24.192
ENSG00000124201,ZNFX1,294.97301656999997,206.18346658,224.16,197.58086657,251.05313324,283.8325,260.8065,ZNFX1,106.68265,214.85613324,178.12575,144.9612,142.87199994,303.43809999999996,291.79375
ENSG00000128383,APOBEC3A,0,0,1.2334,0,1.92675,0,0,APOBEC3A,1.36755,0,0,2.0444998,0,0.42243327,1.0574
ENSG00000179750,APOBEC3B,0.6221949999999999,0,1.1109,0.100125,0,0,0,APOBEC3B,1.0010997,0,0,0,0,0,0
ENSG00000244509,APOBEC3C,171.3506676,211.56309867,164.92380101999998,148.4416651,96.02775,120.47928237,106.48016566,APOBEC3C,143.74800000000002,133.0119,106.24075,133.62253191,84.24499916999999,125.558,176.23134279
ENSG00000284554,NA,1.93246655,3.40239,7.07947041,1.8025,0.39581663000000006,8.585599199999999,0,NA,6.57031733,0.21008335,23.118497710000003,1.0516500000000002,1.0206,3.3547149999999997,5.1142303799999995
ENSG00000243811,APOBEC3D,2.08030676,5.12538,6.5247,3.2102999999999997,0.09122,7.94033275,1.4073999,APOBEC3D,9.45902,0,23.28825,1.05264,0.769125,3.2081464200000003,5.497263619999999
ENSG00000159216,RUNX1,431.8848,623.93876083,582.6156,586.37455,265.39009977,937.894,713.2944,RUNX1,343.0152,390.068,550.8988,366.0015,428.35966706,648.0061,826.2469000000001
ENSG00000185917,SETD4,2.5632,3.0712,0,0,0,0,0.8675,SETD4,0,2.6595,0,0,0,4.3912,4.351999999999999
ENSG00000159261,CLDN14,0,0,0,0,0,0,0,CLDN14,0,NA,0,0,0,0,0
ENSG00000159267,HLCS,0,5.91835,6.0156,0,3.940133429999999,7.685,2.483,HLCS,2.0692500000000003,3.4452000000000003,0,0,2.6064,1.2771,5.32
ENSG00000185808,PIGP,0.897,0,0,0,1.226,1.2771,3.3077,PIGP,1.9668,1.61785,0,2.0852999999999997,2.4531,0,5.4929
ENSG00000128394,APOBEC3F,15.31033364,11.90346696,9.94400022,3.73994982,0,8.876999699999999,6.712733559999999,APOBEC3F,8.522783070000001,5.854,44.392742170000005,6.927200279999999,16.8736,6.966486440000001,8.06623313
ENSG00000239713,APOBEC3G,18.9015,22.48828319,12.67916675,7.82886,15.397433169999998,12.98164989,29.225333600000003,APOBEC3G,16.26495,12.34371658,22.2984,12.123,8.37359991,4.73923338,12.074583250000002
ENSG00000100298,APOBEC3H,0,0,2.0592,0,0,0.7524,0,APOBEC3H,0,0,0,0,0,0,0.957
ENSG00000100065,CARD10,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
