Gene,ENSG,logFC,logCPM,F,PValue,FDR
TC2N,ENSG00000165929,0.2804239075326758,0.1161635175923546,1.0544118774278792,0.3250532689327793,0.6348124573866921
BABAM1,ENSG00000105393,0.14259888144192379,5.2820261766681424,1.0539852939958985,0.3251463408111839,0.6348124573866921
TMEM248,ENSG00000106609,0.1372382423426149,6.5806208976410225,1.0538341471500534,0.325179603656639,0.6348124573866921
YBEY,ENSG00000182362,0.22543078643336265,2.76493486676355,1.0537610929986438,0.3251956952476782,0.6348124573866921
PTCD3,ENSG00000132300,-0.1476200214575383,5.38521058249624,1.0535713020029773,0.32523746038730617,0.6348124573866921
CNIH4,ENSG00000143771,-0.1882069612601455,3.5811460628640726,1.053508031240121,0.325251393286896,0.6348124573866921
PPARG,ENSG00000132170,-0.24205858138955672,1.784294105078677,1.0534365839129123,0.32526726605838086,0.6348124573866921
ZNF287,ENSG00000141040,-0.3822493871940034,-1.007870604631847,1.0528487793527366,0.3254001500470548,0.6349841094262605
UGDH,ENSG00000109814,-0.16012417644179783,3.9217391370823727,1.0523437042959656,0.32550787262636827,0.6350249122751966
GPR160,ENSG00000173890,-0.2230601282401892,1.428076449261864,1.0522464035753643,0.32552950645506895,0.6350249122751966
AHNAK,ENSG00000124942,0.1501110791641114,9.328748691989285,1.052125970139307,0.3255558653717662,0.6350249122751966
IL36RN,ENSG00000136695,-0.5777158269547837,-2.3555642803309214,1.0520386877964176,0.3256218847153399,0.6350660329557251
CFLAR,ENSG00000003402,0.149374545927215,10.522450673224892,1.0513395803600614,0.32572929453903343,0.6350823234777789
GCLM,ENSG00000023909,0.19451539676808477,4.170858967503797,1.0511778743407278,0.3257649751959565,0.6350823234777789
ATG4D,ENSG00000130734,0.17156770839434277,3.4791994122180543,1.0508837288601205,0.3258298928313398,0.6350823234777789
ING3,ENSG00000071243,-0.18080862929599542,3.6291435384248794,1.0505925610217242,0.3258941678683507,0.6350823234777789
MED12,ENSG00000184634,0.1505439925728919,6.994921636831376,1.0505190414939232,0.3259103965405378,0.6350823234777789
